##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
544.8211, 7.923340
545.3032, 7.969971
545.7853, 8.131409
546.2675, 7.420349
546.7495, 6.073608
547.2316, 4.949646
547.7137, 4.847595
548.1959, 4.525024
548.6780, 2.971863
549.1601, 0.7302250
549.6422, 1.954041
550.1243, 0.9481810
550.6064, 4.800903
551.0886, 6.713257
551.5707, 6.109131
552.0528, 5.565613
552.5349, 5.626953
553.0170, 5.609009
553.4991, 2.538696
553.9813, 3.720520
554.4634, 5.804626
554.9455, 4.100281
555.4276, 19.85925
555.9097, 23.53815
556.3918, 15.37689
556.8740, 5.517883
557.3561, 1.208374
557.8382, 0.3944090
558.3203, 0.8700560
558.8024, 3.198547
559.2845, 3.534912
559.7667, 2.495361
560.2488, 11.09399
560.7309, 17.11017
561.2130, 17.95428
561.6951, 18.19794
562.1772, 19.06488
562.6594, 20.22607
563.1415, 19.97095
563.6236, 16.95233
564.1057, 14.28918
564.5878, 12.33368
565.0699, 9.615112
565.5521, 15.11029
566.0342, 33.68585
566.5163, 53.12268
566.9984, 54.48999
567.4805, 38.24640
567.9626, 29.83356
568.4448, 36.06390
568.9269, 50.39062
569.4090, 63.65161
569.8911, 76.01276
570.3732, 87.94092
570.8553, 102.0380
571.3375, 114.2910
571.8196, 118.0552
572.3017, 113.7848
572.7838, 110.8990
573.2659, 115.1736
573.7480, 122.1951
574.2302, 128.6661
574.7123, 133.2681
575.1944, 138.4917
575.6765, 144.4896
576.1586, 151.4710
576.6407, 159.5379
577.1229, 167.9225
577.6050, 179.1126
578.0871, 194.4924
578.5692, 213.2072
579.0513, 229.5779
579.5334, 243.0535
580.0156, 256.8104
580.4977, 272.8976
580.9798, 290.9634
581.4619, 310.3788
581.9440, 331.5470
582.4261, 349.0259
582.9083, 348.8390
583.3904, 342.1132
583.8725, 352.1733
584.3546, 393.8358
584.8367, 436.5736
585.3188, 454.2808
585.8010, 457.5085
586.2831, 467.9959
586.7652, 501.8027
587.2473, 536.3838
587.7294, 562.4132
588.2115, 579.7517
588.6937, 600.0193
589.1758, 625.9567
589.6579, 652.5032
590.1400, 676.0572
590.6221, 693.4984
591.1042, 721.5300
591.5864, 763.8132
592.0685, 808.4572
592.5506, 838.2465
593.0327, 853.6179
593.5148, 873.7963
593.9969, 905.0472
594.4791, 941.4855
594.9612, 973.9772
595.4433, 1002.949
595.9254, 1030.069
596.4075, 1052.328
596.8896, 1075.595
597.3718, 1108.251
597.8539, 1150.025
598.3360, 1186.913
598.8181, 1208.105
599.3002, 1224.457
599.7823, 1242.348
600.2645, 1259.077
600.7466, 1285.853
601.2287, 1332.800
601.7108, 1384.501
602.1929, 1423.558
602.6750, 1446.793
603.1572, 1463.557
603.6393, 1472.802
604.1214, 1478.391
604.6035, 1491.225
605.0856, 1511.580
605.5677, 1535.184
606.0499, 1564.101
606.5320, 1594.300
607.0141, 1615.706
607.4962, 1628.301
607.9783, 1635.003
608.4604, 1636.410
608.9425, 1633.625
609.4246, 1625.613
609.9067, 1608.478
610.3889, 1599.306
610.8710, 1616.326
611.3531, 1641.651
611.8352, 1653.932
612.3173, 1643.872
612.7994, 1626.952
613.2816, 1601.074
613.7637, 1570.073
614.2458, 1544.195
614.7279, 1524.840
615.2100, 1507.067
615.6921, 1490.202
616.1743, 1473.607
616.6564, 1452.688
617.1385, 1427.219
617.6206, 1400.797
618.1027, 1374.714
618.5848, 1349.759
619.0670, 1328.505
619.5491, 1312.224
620.0312, 1292.834
620.5133, 1259.833
620.9954, 1220.553
621.4775, 1184.826
621.9597, 1159.223
622.4418, 1133.114
622.9239, 1098.918
623.4060, 1061.610
623.8881, 1032.940
624.3702, 1029.234
624.8524, 1015.983
625.3345, 979.9709
625.8166, 923.8231
626.2987, 887.1600
626.7808, 876.6693
627.2629, 864.5449
627.7451, 828.6997
628.2272, 772.6462
628.7093, 731.8112
629.1914, 708.5040
629.6735, 691.4587
630.1556, 671.0479
630.6378, 648.6785
631.1199, 627.4600
631.6020, 609.0225
632.0841, 589.9856
632.5662, 566.6606
633.0483, 541.3889
633.5305, 517.9972
634.0126, 499.1776
634.4947, 481.4818
634.9768, 464.3657
635.4589, 447.6283
635.9410, 430.6180
636.4232, 411.4216
636.9053, 394.9446
637.3874, 385.0698
637.8695, 381.9312
638.3516, 369.0248
638.8337, 344.3289
639.3159, 319.1780
639.7980, 304.2153
640.2801, 296.8015
640.7622, 287.1559
641.2443, 273.1112
641.7264, 260.8403
642.2086, 260.0660
642.6907, 264.0443
643.1728, 262.2212
643.6549, 244.8420
644.1370, 228.5736
644.6191, 220.6294
645.1013, 218.7531
645.5834, 217.0444
646.0655, 216.1681
646.5476, 213.6346
647.0297, 209.0116
647.5118, 202.2273
647.9940, 192.2129
648.4761, 176.7406
648.9582, 164.1246
649.4403, 160.2108
649.9224, 164.1183
650.4045, 167.7581
650.8867, 170.9855
651.3688, 173.7722
651.8509, 178.9814
652.3330, 183.0616
652.8151, 177.9944
653.2972, 158.1984
653.7794, 141.2351
654.2615, 139.5732
654.7436, 146.3622
655.2257, 151.3971
655.7078, 151.2467
656.1899, 150.1454
656.6721, 147.9160
657.1542, 145.3849
657.6363, 145.5829
658.1184, 151.2510
658.6005, 153.2130
659.0826, 147.0640
659.5648, 134.3167
660.0469, 125.7550
660.5290, 121.7266
661.0111, 115.9000
661.4932, 97.75562
661.9753, 76.18433
662.4575, 72.98035
662.9396, 90.55396
663.4217, 106.3768
663.9038, 101.2112
664.3859, 87.34167
664.8680, 77.27991
665.3502, 74.30255
665.8323, 73.94403
666.3144, 77.80579
666.7965, 82.70404
667.2786, 84.22485
667.7607, 79.99896
668.2429, 77.85724
668.7250, 79.34595
669.2071, 82.38043
669.6892, 81.68103
670.1713, 77.09528
670.6534, 72.44757
671.1355, 68.24695
671.6176, 66.20251
672.0997, 72.36438
672.5818, 84.52686
673.0640, 90.13617
673.5461, 71.82422
674.0282, 50.48151
674.5103, 46.75226
674.9924, 63.66522
675.4745, 74.74683
675.9567, 62.88641
676.4388, 47.76367
676.9209, 44.34106
677.4030, 61.13721
677.8851, 70.58496
678.3672, 70.62665
678.8494, 66.57452
679.3315, 63.32959
679.8136, 60.76569
680.2957, 55.15656
