PE IR       RAMAN       SPECTRUM    ASCII       PEDS        1.60        	
2082	0.190854
2081	0.225424
2080	0.25525
2079	0.260162
2078	0.254702
2077	0.260043
2076	0.274801
2075	0.284337
2074	0.282263
2073	0.274467
2072	0.265979
2071	0.252008
2070	0.230503
2069	0.214958
2068	0.215816
2067	0.219488
2066	0.214481
2065	0.216722
2064	0.235962
2063	0.245928
2062	0.230288
2061	0.218367
2060	0.230407
2059	0.237154
2058	0.219297
2057	0.208163
2056	0.221467
2055	0.226283
2054	0.207376
2053	0.196051
2052	0.198984
2051	0.183486
2050	0.155496
2049	0.160121
2048	0.192284
2047	0.20194
2046	0.190138
2045	0.202798
2044	0.233721
2043	0.233411
2042	0.203204
2041	0.185608
2040	0.181794
2039	0.165081
2038	0.146508
2037	0.149512
2036	0.156831
2035	0.150299
2034	0.156474
2033	0.195384
2032	0.23272
2031	0.233602
2030	0.215291
2029	0.205945
2028	0.200295
2027	0.188875
2026	0.185108
2025	0.196123
2024	0.203585
2023	0.192451
2022	0.17116
2021	0.155162
2020	0.149011
2019	0.14925
2018	0.154018
2017	0.163841
2016	0.17457
2015	0.176215
2014	0.169801
2013	0.173401
2012	0.190639
2011	0.193548
2010	0.168156
2009	0.148081
2008	0.1616
2007	0.184273
2006	0.188922
2005	0.192403
2004	0.204467
2003	0.196218
2002	0.168251
2001	0.171113
2000	0.211119
1999	0.228524
1998	0.206661
1997	0.197625
1996	0.212883
1995	0.204205
1994	0.171279
1993	0.168776
1992	0.195765
1991	0.195479
1990	0.166058
1989	0.159811
1988	0.18053
1987	0.188875
1986	0.187015
1985	0.200724
1984	0.211286
1983	0.192999
1982	0.174498
1981	0.18754
1980	0.204157
1979	0.190019
1978	0.16818
1977	0.173115
1976	0.190973
1975	0.193715
1974	0.187134
1973	0.188732
1972	0.196051
1971	0.200963
1970	0.20554
1969	0.209617
1968	0.206971
1967	0.200128
1966	0.200915
1965	0.213551
1964	0.22571
1963	0.22068
1962	0.199127
1961	0.18177
1960	0.180697
1959	0.181221
1958	0.171923
1957	0.171232
1956	0.191164
1955	0.205063
1954	0.192332
1953	0.1791
1952	0.188684
1951	0.197625
1950	0.18835
1949	0.188994
1948	0.213432
1947	0.228714
1946	0.224947
1945	0.237584
1944	0.266885
1943	0.267457
1942	0.24259
1941	0.246715
1940	0.277495
1939	0.276827
1938	0.24352
1937	0.232124
1936	0.242471
1935	0.228047
1934	0.199961
1933	0.205802
1932	0.230479
1931	0.230026
1930	0.223946
1929	0.252413
1928	0.290846
1927	0.301289
1926	0.308179
1925	0.341677
1924	0.368714
1923	0.350522
